Participant,Condition,anterolateralSTEMI.png,LBBB.png,lateralSTEMI.png,AF.png,RBBB.png,inferiorSTEMIandAF.png,anteriorSTEMI.png,highlateralSTEMI.png,inferolateralSTEMI.png
P2M,1,0,0,0,0,0,0,0,0,0
P2M,2,0,0,0,0,0,0,0,0,0
P3M,1,1,0,0,0,0,0,1,0,1
P3M,2,1,0,0,0,0,0,1,0,1
P5M,2,0,0,0,0,0,0,0,0,0
P5M,1,1,0,0,0,0,1,0,0,0
P6M,2,1,0,1,1,0,1,1,0,1
P6M,1,1,0,1,1,0,1,1,0,0
P7M,1,1,1,0,1,1,1,0,1,0
P7M,2,1,1,0,1,1,1,1,1,1
P8M,2,1,0,0,0,0,0,1,0,0
P8M,1,0,1,0,0,0,0,1,0,0
P9F,1,0,0,0,0,0,0,0,0,1
P9F,2,0,0,0,0,1,0,0,0,1
P10M,2,1,1,1,1,1,1,0,0,1
P10M,1,1,1,1,1,0,1,0,0,1
P11M,1,0,1,1,1,0,0,1,0,1
P11M,2,1,1,1,1,0,0,1,0,0
P12M,1,0,1,1,0,0,0,1,0,0
P12M,2,0,1,0,0,1,0,1,0,0
P13F,2,1,1,0,0,1,0,1,1,1
P13F,1,0,1,0,1,1,0,1,1,1
P14M,2,1,1,1,1,1,1,1,1,1
P14M,1,1,1,1,1,1,1,1,1,1
P15F,1,1,1,1,1,1,0,1,0,1
P15F,2,1,1,0,1,1,0,0,0,1
P16F,2,1,1,0,1,1,1,1,1,1
P16F,1,1,1,0,1,1,1,1,1,1
P17F,2,1,1,1,1,0,1,0,0,1
P17F,1,1,1,1,1,1,1,0,0,1
P18F,2,0,1,0,1,0,0,0,0,1
P18F,1,1,1,1,1,0,1,1,0,0
P19F,1,1,1,1,1,1,1,1,0,0
P19F,2,1,1,1,1,1,1,1,0,1
P20F,1,1,1,1,1,1,0,1,0,1
P20F,2,1,1,1,1,1,1,1,0,1
P21F,2,1,1,0,1,1,1,1,1,1
P21F,1,1,1,0,1,1,1,1,1,1
P22M,2,1,1,1,0,1,1,0,0,1
P22M,1,1,1,1,0,1,1,1,0,1
P23F,1,1,1,0,1,1,1,1,1,1
P23F,2,1,1,1,1,1,1,1,1,1
P24M,2,1,1,1,1,1,1,0,0,0
P24M,1,1,1,1,1,1,1,0,1,0
P25F,2,1,1,1,1,1,1,0,1,1
P25F,1,0,1,1,1,1,1,0,1,1
P26F,1,1,1,0,1,1,1,1,1,1
P26F,2,0,1,0,1,1,1,1,1,1
P27F,2,1,1,1,1,1,1,0,0,1
P27F,1,1,1,1,1,1,1,0,0,1
P28F,2,0,1,1,1,1,0,1,0,1
P28F,1,0,1,1,1,1,0,0,0,1
P29M,1,1,1,1,1,1,1,1,0,1
P29M,2,1,1,1,1,1,1,1,0,1
P30F,2,1,1,0,1,1,1,0,1,1
P30F,1,1,1,1,1,1,1,0,0,1
P31F,1,1,0,0,1,1,0,0,0,1
P31F,2,1,1,0,1,1,0,0,0,1
