Participant,Condition,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,PresentationSequence,Comments,Number correct,Number incorrect,percent correct,1 = Hx
P01F,1,ST elevation myocardial infarction in ant leads,ST elevation myocardial infarction in ant & lat leads,Angina / non-ST elevation MI,Atrial fibrillation,Pulmonary embolism,No answer given,ST elevation MI,Past ST elevation MI?,Posteriolateral ST elevation MI,1,,3,6,33.33,2 = No Hx
P02M,1,Angina,Atrial fibrillation,Ventricular hypertrophy / ventricular fibrillation,Tachycardia,Long QT-syndrome / Romano-ward syndrome,Cardiac arrhythmia,Ventricular fibrillation,Congestion in aorta,"Inadequate ventricular contraction, systolic phase shortened, cardiac arrythmia",2-1,,0,9,0,
P02M,2,Normal,Normal,Ventricular fibrillation / arrythmia,Ventricular tachycardia,Atrial fibrillation,Long QT syndrome,Normal,No answer,Arrythmia,2-1,,0,9,0,
P03M,1,STEMI,Anteroseptal MI,Sinus rhythm,Atrial flutter,Pulmonary embolism,Atrial fibrillation,Anterior MI,Angina,Lateral MI,2-1,,3,6,33.33,
P03M,2,Myocardial Infarction (anterior),Myocardial Infarction (anteroseptal),Ischemia,Atrial flutter,Ischemia,Atrial fibrillation,STEMI,Angina,Myocardial Infarction (lateral),2-1,,3,6,33.33,
P05M,2,MI,AF - L/R BBB,? ectopy,?,"? BBB, ? ischemic",Atrial flutter,?,Posterior MI,?,1-2,,0,9,0,
P05M,1,Anterior MI,AF,L-MI?,Tri?,?PE,Inferior MI with atrial flutter,n?,Ischemic ? posterior MI,?,1-2,,2,7,22.22,
P06M,2,"ST^, Normal SR, Anterior STEMI","Widened QRS,Bundle Branch Block, ?L or R","Normal SR, Lateral STEMI","Atrial fibrillation, otherwise normal","Normal SR, Bundle Branch Block ? L or R","Inferior ST^, Slow AF, Inferior STEMI","Normal SR, Anterior septal STEMI","Inferior ST depression, Normal SR, ? NSTEMI or unstable angina","Inferior ST^, Normal SR, Inferior STEMI",2-1,,6,3,66.67,
P06M,1,"Anterior ST^, Anterior STEMI","BBB throughout, with history likely ACS","Lateral STEMI, previous Hx supports this",Atrial fibrillation,Pulmonary embolus,Inferior STEMI + AF,"Anterior septal STEMI, NSR",?Inferior STEMI,Anterior STEMI,2-1,,5,4,55.56,
P07M,1,"Sinus rhythm, normal axis, ST^ I, aVL, V2-V4, (?aVR) T to in some leads. Anterior ST^ ?more than 12-24 hours old ","Sinus rhythm, normal axis, LBBB","Sinus rhythm, ST^ V4-V6 I ?V3, Anterolateral ST elevation","Fast atrial fibrillation, Nil else","RBBB, S1 QIII TIII pattern, sinus rhythm, normal axis, ?indicative of PE","ST^ II III aVR - reciprocal changes present, suspected inferior STEMI, atrial flutter with variable conduction, normal axis","ST^ V2-V5 ? 2degree ACS, atrial premature beat, sinus rhythm","ST^ I, aVR suspected lateral STEMI, sinus rhythm - reciprocal changes",ST^ II aVF V4-V6 sinus rhythm / bradycardia rate approx 60 bpm,1-2,,6,3,66.67,
P07M,2,ST elevation V2-V4 + minimal ST^ I aVL T depression in some leads - recent (12-24 hours) anterolateral STEMI,LBBB,"Sinus rhythm, ST^ V4-V6 VPB x 1",Atrial fibrillation,RBBB sinus rhythm,"ST^ II, III, aVF - suspected inferior STEMI, atrial flutter",ST^ V2-V4 atrial premature beat,"ST^ I, aVL","ST^ II, III aVF V4-V6 sinus rhythm",1-2,,8,1,88.89,
P08M,2,Anterior STEMI,"Left axis deviation, wide QRS",Sinus rhythm,Sinus tachycardia,Inverted T-waves -> Post MI?,AF,Anteriolateral STEMI,Sinus rhythm,?,2-1,,2,7,22.22,
P08M,1,?,Wide QRS ... LBBB?,NSTEMI?,SVT,PE?,AF,Anterolateral STEMI,No answer,?,2-1,,2,7,22.22,
P09F,1,Pericarditis,Myocardial Infarction,Posterior heart ischaemia,Not sure,Pulmonary embolism,Left bundle branch block,Myocardial infarction,Unsure,Inferior MI,1-2,,1,8,11.11,
P09F,2,Normal ECG,Unsure,AV block,2nd degree AV block,Right bundle branch block,Left bundle branch block,MI,Inferior heart ischemia,Inferior lateral MI,1-2,Mentioned it was harder without the Hx,2,7,22.22,
P10M,2,Anterior STEMI,LBBB,Lateral STEMI with pericarditis,AF,RBBB,Atrial Flutter with Inferior STEMI,Hyperkalaemia,Lateral STEMI,Inferolateral STEMI,2-1,,7,2,77.78,
