Timestamp,How would you rate the difficulty of the on-screen ECG interpretation task you just took part in?,How confident do you typically feel when interpreting ECGs?,Are you a student training to belong to a professional group?,Which category best describes your usual job/position?,How long have you been working in your current role.,How often do you interpret ECGs as part of your role?,How would you rate your experience level with ECG interpretation?,How many hours of training have you received in ECG interpretation? ,What format did your ECG training take?,Do you use a system when interpreting ECGs?,What type of system do you use?,Which statement best describes the origin of your system?,Has the system you have used changed over time?,How did your system change?,Why did your system change?,Which lead(s) do you pay most attention to when viewing ECGs?,How often do you check recording speed and amplitude settings prior to interpretation?,How useful do you find automated ECG interpretation outputs?,How accurate do you believe automated ECG interpretation to be?,How would you rate the difficulty of the interpretation task WITHOUT the history of the patient's presenting complaint?,How would you rate the difficulty of the interpretation task WITH the history of the patient's presenting complaint?,Participant ID:,Gender,Age
21/12/2016 11:04:32,4,4,Yes,Doctor,5,Weekly,3,1-5,"Formal lecture/seminar , Taught by colleagues on the job",Yes,"Calculate heart rate, check if sinus rhythm, check if regular/irregular, look at PR interval, look at QRS complex, look at T waves and if any unusual waves (U), check if any bundle branch block, work through whole ECG from lead to lead checking for any abnormalities, check if consistent with patient identifiers and history.",I learnt this system from other colleagues,Yes,"Formulated more of a structure in my head, so instead of just looking for the first abnormal thing that jumped out at me I now work through it",Not having a method used to make me flustered and I would miss important things,"II, aVR, V1, V2, V3, V4, V5, V6, Rhythm strip ",Usually,2,2,2,5,P1F,Female,24
06/02/2017 10:15:50,3,4,Yes,biomedical scientist,3,Monthly,3,6-10,"Formal lecture/seminar , On line activities/course, Taught by colleagues on the job, looking at real time ECGs",Yes,"Follow the QT spike, then the atrial phase (P) and repolarisation phase",I was taught this system as part of formal training on ECG interpretation,Don't know,,,"aVR, aVL, aVF, V1, V2, Rhythm strip ",Usually,3,3,2,3,P2M,Male,21
09/02/2017 16:50:09,2,3,Yes,Nurse,1.5,Monthly,2,1-5,"Formal lecture/seminar , Workshop, Taught by colleagues on the job",No,,,,,,"II, V2",Sometimes,3,2,2,3,P3M,Male,26
10/02/2017 14:01:33,3,3,No,Electronic ECG Scientist,4,Monthly,3,6-10,"Formal lecture/seminar , On line activities/course, Taught by colleagues on the job",Yes,A separate analysis method is used for looking and interpreting the ECG signals,I learnt this system from other colleagues,No,,,Rhythm strip ,Usually,2,2,1,4,P4F,Female,27
23/02/2017 13:14:56,2,3,No,Nurse,2,periodically ,3,NA,Taught by colleagues on the job,No,,,,,,"I, II, III, aVL, aVF, V1, V2, V3, V4, V5, V6, Rhythm strip ",All the time,1,1,2,4,P05M,Male,32
23/02/2017 14:03:33,3,3,No,Nurse,8,Monthly,3,11-20,"Formal lecture/seminar , Workshop, Taught by colleagues on the job",Yes,"Working through leads, looking for abnormalities of morphology, then rhythm analysis",I was taught this system as part of formal training on ECG interpretation,Don't know,,,II,Usually,4,3,2,4,P06M,Male,39
23/02/2017 14:31:54,5,5,No,lecturer in Cardiac care,13,Weekly,5,> 30,"Formal lecture/seminar , Workshop, On line activities/course, Taught by colleagues on the job, By building a portfolio of cases, ALS courses",Yes,"rate, rhythm, axis, morphology",I learnt this system from other colleagues,No,,,"I, II, III, aVL, aVF, V1, V2, V3, V4, V5, V6, Rhythm strip ",less than I should,1,2,3,4,P07M,Male,48
03/04/2017 11:27:23,2,3,Yes,Doctor,3,Daily,3,6-10,"Formal lecture/seminar , Workshop, Taught by colleagues on the job",Yes,"rate, rythem, axis, then look at each part individually.",I learnt this system from other colleagues,No,,,"I, II, III, V1, V2, V3, V4, V5, V6, Rhythm strip ",Never,3,4,1,2,P8M,Male,21
05/04/2017 17:30:32,3,3,Yes,Doctor,3,Weekly,2,6-10,"Formal lecture/seminar , Workshop, Taught by colleagues on the job",Yes,go through each part of the ECG ,I was taught this system as part of formal training on ECG interpretation,Don't know,,,"II, III, V1, V6, Rhythm strip ",Never,4,4,1,4,P9F,Female,23
06/04/2017 14:34:29,3,4,Yes,Doctor,3,Weekly,2,6-10,"Formal lecture/seminar , On line activities/course, Taught by colleagues on the job",Yes,"Check if sinus rhythm, check rate, look at all leads, check axis, check for elevation or depression, general overlook, compare inferior, lateral and medial",I was taught this system as part of formal training on ECG interpretation,Don't know,,,"II, aVR, aVL, aVF, V1, V2, V3, V4, V5, Rhythm strip ",Never,2,2,3,4,P10M,Male,22
